2024/07/06 19:08:07 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:08:14 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:08:54 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:09:00 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:09:09 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:09:21 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:11:55 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:12:01 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:12:13 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:12:21 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:12:26 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:12:34 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:12:40 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:12:49 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:12:53 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:13:52 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:13:57 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:14:17 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:14:22 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:14:31 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:14:37 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:14:44 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:14:48 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:14:55 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:14:59 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:16:45 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:16:49 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:16:57 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:17:01 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:33:22 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:33:34 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:33:45 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:33:50 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:33:56 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:34:05 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:36:14 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:36:22 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:36:31 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:36:45 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:36:54 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:37:00 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:37:10 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:37:15 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:37:33 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:37:38 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:37:48 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:37:54 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:38:11 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:38:19 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:38:28 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:38:35 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:39:02 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:39:07 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:39:17 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:39:22 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:40:37 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:40:44 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:40:51 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:40:56 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:41:04 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:41:17 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:41:23 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:41:32 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:41:55 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:42:03 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:42:09 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:42:16 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:42:22 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:42:31 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:42:41 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:42:49 logger.go:19: ERROR: failed to save image | exit status 1
